50,464.34,205.1,143.68,205.32,102.91
100,85.28,86.53,255.57,91.37,77.76
150,154.58,112.83,294.38,57.33,55.02
200,82.89,97.45,78.69,86.95,152.02
250,62.55,133.36,94.77,142.55,42.68
300,94.29,61.24,40.85,38.25,47.41
350,82.4,159.32,22.28,110.13,36.96
400,65.1,27.63,41.37,26.09,33.45
450,132.42,54.48,16.99,28.78,32.36
500,245.13,116.78,31.41,53.56,21.1
550,272.05,26.01,34.72,31.36,27.64
600,161.87,23.69,22.21,11.78,18.71
650,75.22,42.66,30.09,13.34,36.23
700,60.06,67.54,23.69,20.79,26.87
750,35.86,130.81,38.42,20.48,30.13
800,74.73,40.92,39.31,15.67,10.5
850,62.41,40.74,11.14,14.71,13.75
900,39.23,63.68,28.52,15.59,20.2
950,40.41,37.78,26.51,23.48,16.93
