50,608.61,94.18,568.91,439.31,229.48
100,799.7,296.18,80.03,540.29,124.18
150,203.6,546.17,55.53,206.1,52.76
200,425.72,83.78,392.49,61.99,47.46
250,208.58,257.6,155.36,37.29,45.86
300,87.57,73.18,50.89,53.91,40.73
350,178.79,99.91,48.38,39.32,49.66
400,62.38,66.78,29.73,38.19,47.14
450,172.94,79.63,67.44,55.67,21.92
500,88.03,38.88,125.87,45.05,16.85
550,65.24,58.64,34.01,42.52,19.32
600,19.94,30.32,27.14,26.45,27.11
650,75.05,43.09,36.96,41.9,31.21
700,81.05,34.52,36.79,21.14,38.08
750,165.42,64.4,28.98,17.5,33.15
800,67.61,23.17,38.39,16.01,27.46
850,60.59,79.73,24.74,76.45,10.51
900,52.27,57.33,33.44,27.65,22.4
950,90.79,42.21,11.2,23.06,12.13
