50,64.48,39.19,36.88,49.93,51.73,48.14,50.18,70.76,101.0
100,30.84,30.52,30.74,31.36,33.57,40.95,41.62,68.56,105.66
150,21.24,28.82,20.29,26.51,30.45,29.73,36.57,58.32,106.65
200,20.21,27.01,20.67,23.31,27.26,31.58,34.13,50.48,109.65
250,22.68,22.57,21.95,19.43,22.62,26.53,37.04,56.51,101.16
300,17.57,21.65,18.82,19.79,23.32,29.5,34.08,49.51,105.12
350,11.53,15.33,16.01,19.99,21.1,28.74,35.45,59.94,99.01
400,23.31,13.4,19.74,19.12,20.78,24.66,36.14,52.35,110.3
450,12.21,13.67,15.26,18.14,24.02,25.49,38.53,50.97,114.85
500,11.66,14.4,16.07,18.56,19.41,26.3,38.33,52.65,93.8
550,11.12,12.74,15.58,20.61,20.9,28.98,33.98,52.95,105.7
600,12.66,13.41,17.31,17.92,23.07,25.34,39.52,63.99,96.11
650,11.39,12.55,16.06,17.51,21.33,27.81,35.71,54.8,97.55
700,11.76,12.79,15.07,17.05,22.54,23.54,38.25,56.49,97.35
750,11.85,12.12,15.03,18.0,22.76,26.2,34.26,51.81,98.45
800,12.27,13.02,16.18,16.63,21.16,26.95,34.67,53.8,121.04
850,11.95,16.13,16.25,18.48,19.86,28.88,35.81,54.84,100.92
900,11.75,12.89,14.61,17.78,20.59,26.49,34.23,62.18,111.64
950,12.17,13.07,15.76,18.42,20.98,29.25,33.65,54.98,103.92
