50,360.72,290.06,542.2,181.14,1763.31
100,274.05,232.2,193.85,469.69,2699.66
150,67.82,217.3,361.92,159.22,88.35
200,943.91,214.76,139.72,105.04,57.6
250,650.78,67.44,112.96,92.3,147.83
300,374.01,145.57,122.74,188.52,57.52
350,328.81,74.99,416.56,172.79,170.18
400,183.45,116.33,53.08,70.84,15.9
450,113.88,46.92,93.99,66.62,25.4
500,212.78,123.59,83.26,273.16,22.51
550,50.89,362.7,74.82,41.72,25.58
600,78.48,31.35,52.62,42.22,60.6
650,126.17,74.34,42.5,40.26,27.47
700,232.78,87.57,44.8,18.88,46.27
750,111.42,29.49,11.54,24.16,16.88
800,87.27,103.16,12.59,45.18,33.95
850,237.14,83.92,56.59,46.52,28.01
900,172.21,58.72,28.5,20.19,32.94
950,97.49,59.68,15.16,28.09,11.47
