50,99.5,604.8,98.74,289.68,65.06
100,107.36,187.77,168.55,117.25,63.56
150,438.3,189.89,199.76,72.07,45.61
200,328.95,72.55,67.09,90.99,38.7
250,604.42,70.26,18.26,65.81,36.61
300,260.15,79.64,59.83,102.08,33.94
350,339.32,174.85,81.58,38.62,70.69
400,318.37,98.46,44.42,50.17,43.41
450,222.11,63.66,33.45,35.2,21.14
500,84.17,76.62,56.41,33.22,23.32
550,198.26,87.01,23.42,39.1,33.82
600,64.27,45.46,37.31,24.71,24.46
650,66.13,33.98,29.82,33.77,25.88
700,47.31,52.47,36.45,19.54,32.26
750,40.05,50.72,35.66,24.88,22.01
800,59.18,49.79,36.3,23.41,19.82
850,51.93,39.04,18.73,26.63,12.07
900,48.44,66.9,22.16,22.83,18.67
950,58.56,28.26,24.97,36.21,12.27
