50,121.83,110.16,298.96,147.94,95.95
100,173.67,196.97,104.06,109.11,67.33
150,159.93,132.59,139.05,77.49,29.71
200,73.16,102.8,53.93,43.03,75.41
250,114.08,81.04,53.88,122.99,44.97
300,56.3,64.94,88.88,22.92,46.15
350,42.66,93.46,38.88,24.7,38.6
400,35.09,118.18,53.63,27.34,20.68
450,84.57,37.0,48.92,36.32,24.48
500,81.59,43.6,111.72,27.09,24.52
550,80.37,52.37,26.44,31.06,13.54
600,27.98,96.69,44.61,25.59,33.71
650,76.38,40.58,19.84,14.37,15.43
700,36.18,37.89,20.4,15.89,16.92
750,69.21,24.35,33.55,22.57,18.15
800,23.68,28.66,34.16,12.98,13.78
850,47.34,52.07,40.64,22.6,20.6
900,57.05,19.1,91.85,12.13,19.52
950,202.96,30.17,36.29,19.52,12.9
