50,306.46,197.83,177.86,221.16,64.23
100,72.19,103.06,125.64,61.35,80.34
150,259.62,60.79,22.72,82.38,35.2
200,114.11,53.47,63.14,234.92,90.06
250,145.27,92.49,99.28,74.19,36.43
300,94.92,44.22,33.85,53.5,37.53
350,69.16,84.27,32.37,25.56,27.71
400,45.37,46.18,90.25,29.45,50.06
450,155.72,26.79,38.19,13.27,14.48
500,48.52,13.91,39.34,50.44,19.2
550,77.26,35.19,24.75,32.68,26.1
600,78.84,34.86,28.3,28.47,25.88
650,41.53,30.88,36.94,26.89,13.52
700,45.51,35.78,39.65,19.56,11.54
750,37.96,27.72,21.12,17.44,21.4
800,67.46,29.3,14.75,12.97,19.45
850,20.17,28.0,24.7,12.54,17.03
900,66.91,21.07,13.9,20.51,12.76
950,30.38,27.3,21.34,45.72,12.17
